verse;English;Basque;gloss;marker;allomorph;case;role;noun-class;remarks_morph;remarks_sem;text;author;year;century;period;place;dialect;
(Mark 1,4);John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.;Joanes Bataiatzailea basamortuan agertu zen oihukatuz bihozberritu eta bataiatu behar zela, bekatuen barkamendurako.;;rako;;DEST;Motive;abstract;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 1,38);And he said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.;Goazen beste norapait, inguruko herrietarat, horietan ere berriona oihuka dezatan, hortako atera bainaiz.;;ko;;DEST;Motive;connector;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,4);And when they could not come nigh unto him for the press, they uncovered the roof where he was: and when they had broken it up, they let down the bed wherein the sick of the palsy lay.;Bainan jendaldeagatik ezin baitzuten Jesusenganaino ereman, hura zagon parean etxegaina urratu eta zilotik beheiti jautsi zuten parlesiatua etzanik zagon ohetxoa. ;;gatik;;CAUS;Force;people;;negative ;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,7);Why doth this man thus speak blasphemies? who can forgive sins but God only? ;Hori zergatik mintzo da hola? ;;gatik;;CAUS;Cause;interrogative;;negative ;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,8);Why reason ye these things in your hearts?;Zergatik dituzue gogoeta horiek zihauren baitan?;;gatik;;CAUS;Cause;interrogative;;negative ;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,16);And when the scribes and Pharisees saw him eat with publicans and sinners, they said unto his disciples, How is it that he eateth and drinketh with publicans and sinners?;"Farisau lege-irakasle batzuk, bekatari eta zergalariekin jaten ari zela ikusirik, dizipulueri erran zieten:
–Nolaz jaten du zergalari eta bekatariekin?";;z;;INS;Cause;interrogative;;negative ;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,18);Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?;"Joanesen eta farisauen dizipuluek barur egiten dute; zure dizipuluek zergatik ez dute barur egiten?";;gatik;;CAUS;Cause;interrogative;;negative ;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,24);Behold, why do they on the sabbath day that which is not lawful?;Beha zazu, zergatik egiten dute sabatokari haizu ez dena?;;gatik;;CAUS;Cause;interrogative;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,27);The sabbath was made for man, and not man for the sabbath:;Sabatoa jendearentzat egina da eta ez jendea sabatoarentzat. ;;rentzat;;BEN;Beneficiary;people;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,27);The sabbath was made for man, and not man for the sabbath:;Sabatoa jendearentzat egina da eta ez jendea sabatoarentzat. ;;rentzat;;BEN;Beneficiary;event;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 2,28);Therefore the Son of man is Lord also of the sabbath.;Beraz, sabatoaren beraren nagusi da gizonaren semea.;;z;;INS;Cause;connector;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,5);being grieved for the hardness of their hearts, he saith unto the man, ;Jesusek, inguruan haserrez behatzen ziotela eta heien bihotz gogorraz mindurik, gizonari erran zion:;;z;;INS;Force;emotion;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,6);And the Pharisees went forth, and straightway took counsel with the Herodians against him, how they might destroy him.;Atera zirenean, farisauek Herodesen alderdikoekin biltzar egin zuten Jesusen kontra, nola hilaraziko zuten.;;ren_kontra;;postp;Maleficiary;person;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,9);And he spake to his disciples, that a small ship should wait on him because of the multitude, lest they should throng him.;Bere dizipulueri erran zioten untzi bat harentzat prest atxikitzeko, jendaldeak leher ez zezan.;;rentzat;;BEN;Beneficiary;pronoun;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,14);And he ordained twelve, that they should be with him, and that he might send them forth to preach,;Hamabi izendatu zituen, berekin izaiteko eta berrionaren oihukatzera igortzeko;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,14);And he ordained twelve, that they should be with him, and that he might send them forth to preach,;Hamabi izendatu zituen, berekin izaiteko eta berrionaren oihukatzera igortzeko;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,21);And when his friends heard of it, they went out to lay hold on him: for they said, He is beside himself.;"Hori jakitearekin, Jesusen ahaideak hartaz jabetzera etorri ziren; erraiten zuten: «Ez da bere baitan».";;ra;;ALL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,26);And if Satan rise up against himself, and be divided, he cannot stand, but hath an end.;"Satan bere kontra altxatu eta zatitua bada, ezin du iraun; harenak egin du.";;ren_kontra;;postp;Maleficiary;spirit;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,27);"No man can enter into a strong man's house, and spoil his goods, except he will first bind the strong man; and then he will spoil his house.";Nehor ez daiteke gizon azkar baten etxean sar haren ontasunen ebasteko, lehenik gizon azkar hura estekatzen ez badu;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,29);But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.;Bainan Izpiritu Sainduaren kontra blasfemio egiten duenak ez du sekula barkamendurik ukanen: betiko bekatuaz hobendun da».;;ren_kontra;;postp;Maleficiary;spirit;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 3,29);But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.;Bainan Izpiritu Sainduaren kontra blasfemio egiten duenak ez du sekula barkamendurik ukanen: betiko bekatuaz hobendun da;;ko;;REL;Time;time;lexicalized as adjective;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 4,8);"And other fell on good ground, and did yield fruit that sprang up and increased; and brought forth, some thirty, and some sixty, and some an hundred.";"Beste batzu lur onerat erori ziren; sortu, handitu eta fruitua eman zuten: bihi bakotxeko hogeita hamar edo hirurogei edo ehun».";;ko;;REL;Distributive;vegetable;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 4,17);And have no root in themselves, and so endure but for a time: afterward, when affliction or persecution ariseth for the word's sake, immediately they are offended.;bainan errorik gabeak eta iraupen gutikoak baitira, mezuarengatik nahigabea edo pertsekuzionea etorri orduko, erortzen dira. ;;gatik;;CAUS;Cause;abstract;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 4,20);"And these are they which are sown on good ground; such as hear the word, and receive it, and bring forth fruit, some thirtyfold, some sixty, and some an hundred.";Eta huna nor diren «lur ona» bezalakoak: mezua entzuten, onartzen eta fruitua emaiten dutenak, bihi bakotxeko hogeita hamar edo hirurogei edo ehun.;;ko;;REL;Distributive;vegetable;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 4,40);And he said unto them, Why are ye so fearful? how is it that ye have no faith?;Jesusek erran zioten: –Zergatik izitu zirezte? Ez duzue oraino federik?;;gatik;;CAUS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 4,40);And he said unto them, Why are ye so fearful? how is it that ye have no faith?;Jesusek erran zioten: –Zergatik izitu zirezte? Ez duzue oraino federik?;;NO;;;;;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 5,7);And cried with a loud voice, and said, What have I to do with thee, Jesus, thou Son of the most high God? I adjure thee by God, that thou torment me not.;Eta oihu handi batean erran zion: –Zer behar duzu nitarik, Jesus, Goigoiko Jainkoaren seme? Jainkoaz, ez nezazula oinazetan ezar!;;z;;INS;Motive;God;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 5,32);And he looked round about to see her that had done this thing.;Bainan Jesusek inguruan behatzen zuen, hori nork egin zion ikusteko. ;;ko;;REL;Purpose;nominalization;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 5,33);But the woman fearing and trembling, knowing what was done in her, came and fell down before him, and told him all the truth.;Orduan, emazteak, beldurrez ikaran –baitzakien zer gertatu zitzaion– oinetarat erori eta egia guzia erran zion.;;z;;INS;Force;emotion;;;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 5,35);While he yet spake, there came from the ruler of the synagogue's house certain which said, Thy daughter is dead: why troublest thou the Master any further?;Oraino mintzo zela, sinagogako buruzagiaren etxetik zenbait etorri ziren erraitera: «Alaba hil zaizu. Zertako neka zinezake oraino Irakasle jauna?» ;;ko;;REL;Purpose;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
(Mark 5,39);And when he was come in, he saith unto them, Why make ye this ado, and weep? the damsel is not dead, but sleepeth.;Sartu eta erran zioten: «Zergatik holako nahasmendua eta nigarrak? Haurra ez da hila, lo dago».;;gatik;;CAUS;Cause;interrogative;;negative;Gospel of Mark - Labourdin;Andiazabal;2004;21;Contemporary;Labourd;Labourdin;
